W,Название,Title,Тип изображения,Изображение на сайте,"Ширина, px","Высота, px",Мегапиксели,Источник,Страница источника
24,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,цветная фотография,https://monet.1vasiliadi.com/img/1600/w24.webp,1303,970,1.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Route_devant_la_ferme_Saint-Sim%C3%A9on.jpg
25,Дорога у фермы Сен-Симеон,Road by Saint-Simeon Farm,скан из каталога,https://monet.1vasiliadi.com/img/1600/w25.webp,283,506,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_25.png"
26,Верфь малых судов близ Онфлёра,Small Boatyard near Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w26.webp,888,630,0.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Le_Chantier_de_petits_navires,_pr%C3%A8s_de_Honfleur_(1867)_Claude_Monet_(W27).jpg"
27,Лодочная верфь близ Онфлёра,Boatyard near Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w27.webp,552,380,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_27.png"
28,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,скан из каталога,https://monet.1vasiliadi.com/img/1600/w28.webp,1024,752,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w28(1).jpg
29,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,цветная фотография,https://monet.1vasiliadi.com/img/1600/w29.webp,2327,4145,9.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Walk_(Road_of_the_Farm_Saint-Sim%C3%A9on)_-_Google_Art_Project.jpg
30,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,скан из каталога,https://monet.1vasiliadi.com/img/1600/w30.webp,360,662,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_30.png"
31,Лейтенантство в Онфлёре,La Lieutenance at Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w31.webp,359,228,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_31.png"
32,Лётенанс в Онфлёре,The Lieutenance at Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w32.webp,359,264,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_32.png"
33,Улица Бавол в Онфлёре,Le Rue de la Bavole at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w33.webp,3840,3500,13.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Rue_de_la_Bavole,_Honfleur_-_Google_Art_Project.jpg"
34,Улица Бавол в Онфлёре,Le Rue de la Bavole at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w34.webp,1025,946,1.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_La_Rue_de_la_Bavolle_%C3%A0_Honfleur,_1864.jpg"
35,Часовня Нотр-Дам-де-Грас в Онфлёре,The Chapel of Notre-dame de Grace at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w35.webp,2880,2200,6.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:La_Chapelle_de_Notre-Dame-de-Gr%C3%A2ce,_Honfleur_(1864)_Claude_Monet_(W_35).jpg"
36,Ферма близ Онфлёра,Farm near Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w36.webp,359,290,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_36.png"
37,"Лодку вытаскивают на берег, Онфлёр","Hauling a Boat Ashore, Honfleur",цветная фотография,https://monet.1vasiliadi.com/img/1600/w37.webp,500,330,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Towing_a_Boat,_Honfleur,_1864.jpg"
38,Маяк у Оспис,Lighthouse at the Hospice,цветная фотография,https://monet.1vasiliadi.com/img/1600/w38.webp,600,400,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Le_phare_de_Honfleur,_1864.jpg"
39,"Мыс Эв, Онфлёр","La Pointe de la Hève, Honfleur",цветная фотография,https://monet.1vasiliadi.com/img/1600/w39.webp,2000,1099,2.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_Pointe_de_la_H%C3%A8ve.jpg
39a,Пляж в Сент-Адрессе,La Plage de Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w39a.webp,710,306,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Beach_of_Sainte-Adresse,_1864.jpg"
40,Лошади на мысе Ла-Эв,Chevaux à la pointe de la Hève,цветная фотография,https://monet.1vasiliadi.com/img/1600/w40.webp,2000,1391,2.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Chevaux_%C3%A0_la_pointe_de_la_H%C3%A8ve.jpg
41,Пляж в Онфлёре,The Beach at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w41.webp,2684,1960,5.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:'The_Beach_at_Honfleur'_by_Claude_Monet,_LACMA.jpg"
42,Портрет стоящего мужчины,Portrait of a Man Standing,скан из каталога,https://monet.1vasiliadi.com/img/1600/w42.webp,717,1024,0.7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w_42.jpg
43,Доктор Лекланше,Dr. Leclenché,цветная фотография,https://monet.1vasiliadi.com/img/1600/w43.webp,2658,3722,9.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Dr._Leclench%C3%A9_MET_DT1900.jpg
44,Мужчина с трубкой,Man with a Pipe,цветная фотография,https://monet.1vasiliadi.com/img/1600/w44.webp,522,699,0.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:L'Homme_%C3%A0_la_pipe,_portrait_pr%C3%A9sum%C3%A9_de_Jongking_(1864)_Claude_Monet_(W_44).jpg"
45,"Портрет Адольфа Моне, отца художника","Portrait of Adolphe Monet, the Artist's Father",скан из каталога,,357,407,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_53a.png"
46,"Портрет Леона Моне, брата художника","Portrait of Léon Monet, the Artist's Brother",цветная фотография,,3200,3751,12.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Portrait_de_L%C3%A9on_Monet,_1874,_Claude_Monet.jpg"
47,Натюрморт с куропатками,Still Life with Partridges,скан из каталога,,551,382,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_10a.png"
50,Повозка на заснеженной дороге в Онфлёре,A Cart on the Snowy Road at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w50.webp,3500,2410,8.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet,_A_Cart_on_the_Snowy_Road_at_Honfleur_(1865_or_1867).jpg"
51,Устье Сены в Онфлёре,Mouth of the Seine at Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w51.webp,3840,2233,8.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Mouth_of_the_Seine_-_1865.jpg
52,Мыс Ла-Эв в отлив,The Pointe de la Heve at Low Tide,цветная фотография,https://monet.1vasiliadi.com/img/1600/w52.webp,3840,2282,8.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Pointe_de_la_H%C3%A8ve_at_Low_Tide_-_Google_Art_Project.jpg
53,Портрет мужчины: Адольф Моне,Portrait of a Man: Adolphe Monet,цветная фотография,https://monet.1vasiliadi.com/img/1600/w53.webp,500,579,0.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Portrait_of_Claude-Adolphe_Monet,_the_Artist's_Father.jpg"
53a,"Адольф Моне, отец художника","Adolphe Monet, Father of the Artist",скан из каталога,https://monet.1vasiliadi.com/img/1600/w53a.webp,357,407,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_53a.png"
54,Виктор Жакмон с зонтиком,Victor Jacquemont Holding a Parasol,цветная фотография,https://monet.1vasiliadi.com/img/1600/w54.webp,425,700,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_Jacquemont_Victor.jpg
55,Двор фермы в Шайи,Farmyard at Chailly,скан из каталога,https://monet.1vasiliadi.com/img/1600/w55.webp,1200,675,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w55a.jpg
55a,Стога в Шайи на восходе солнца,Haystacks at Chailly at Sunrise,цветная фотография,https://monet.1vasiliadi.com/img/1600/w55a.webp,800,377,0.3,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Haystacks_at_Chailly_at_Sunrise,_1865,_oil_on_canvas,_11_7-8_x_23_3-4_inches_(30_x_60_cm),_San_Diego_Museum_of_Art.jpg"
56,Дорога в Шайи,Le Pavé de Chailly,цветная фотография,https://monet.1vasiliadi.com/img/1600/w56.webp,2778,2002,5.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_Le_Pave_de_Chailly_Musee_dOrsay.JPG
57,Дорога в Шайи в лесу Фонтенбло,Le Pavé de Chailly in the Fontainebleau Forest,цветная фотография,https://monet.1vasiliadi.com/img/1600/w57.webp,1600,1184,1.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Le_Pav%C3%A9_de_Chailly_in_the_Forest_of_Fontainebleau_(Monet).jpg
58,Тропа в лесу,Path in the Forest,цветная фотография,https://monet.1vasiliadi.com/img/1600/w58.webp,1944,2592,5.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wuppertal_Turmhof_2009_002.jpg
59,Лес Фонтенбло,Fontainebleau Forest,цветная фотография,https://monet.1vasiliadi.com/img/1600/w59.webp,3840,2858,11.0,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Wald_von_Fontainbleau.jpeg
60,Дуб Бодмера,"The Bodmer Oak, Fontainebleau",цветная фотография,https://monet.1vasiliadi.com/img/1600/w60.webp,3811,2849,10.9,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:The_Bodmer_Oak,_Fontainebleau_Forest_MET_DT1560.jpg"
60a,Дуб Бодмера,The Bodmer Oak,цветная фотография,https://monet.1vasiliadi.com/img/1600/w60a.webp,1430,1920,2.7,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Un_ch%C3%AAne_au_Bas-Br%C3%A9au,_le_Bodmer.jpg"
61,Гуляющие (этюд к «Завтраку на траве»),The Strollers (study for Luncheon on the Grass),цветная фотография,https://monet.1vasiliadi.com/img/1600/w61.webp,2856,3840,11.0,National Gallery of Art,https://www.nga.gov/collection/art-object-page.52185.html
62,Завтрак на траве (этюд к № 63),Luncheon on the Grass (study),цветная фотография,https://monet.1vasiliadi.com/img/1600/w62.webp,3840,2714,10.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe_(1866)_-_Pushkin_Museum_%D0%96-3307.jpg
63,Завтрак на траве,Le Déjeuner sur l’herbe - left panel,цветная фотография,https://monet.1vasiliadi.com/img/1600/w63.webp,700,2015,1.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe,_partie_gauche.jpg"
63a,"Завтрак на траве, левая часть","Luncheon on the Grass, Left Panel",цветная фотография,https://monet.1vasiliadi.com/img/1600/w63a.webp,700,2015,1.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe,_partie_gauche.jpg"
63b,"Завтрак на траве, центральная часть","Luncheon on the Grass, Central Panel",цветная фотография,https://monet.1vasiliadi.com/img/1600/w63b.webp,2247,2590,5.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Le_D%C3%A9jeuner_sur_l'herbe_-_Monet_(Middle_fragment,_Mus%C3%A9e_d'Orsay).jpg"
64,Камилла с собачкой,Camille with a Small Dog,скан из каталога,https://monet.1vasiliadi.com/img/1600/w64.webp,785,1043,0.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w64.jpg
65,Камилла в зелёном платье,Camille (also known as The Woman in a Green Dress),цветная фотография,https://monet.1vasiliadi.com/img/1600/w65.webp,3800,5856,22.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Camille.JPG
66,Камилла (реплика),Camille (Replica),цветная фотография,https://monet.1vasiliadi.com/img/1600/w66.webp,467,700,0.3,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camille_in_the_Green_Dress_(1866)_Claude_Monet_-_Muzeul_Na%C8%9Bional_de_Art%C4%83_al_Rom%C3%A2niei_(W66).jpg
67,Женщины в саду,Women in the Garden,цветная фотография,https://monet.1vasiliadi.com/img/1600/w67.webp,3840,4633,17.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Frauen_im_Garten_-_Claude_Monet_-_Paris_1863_%E2%80%93_1874-_Revolution_in_der_Kunst-4703.jpg
68,Дама в саду Сент-Адресс,Woman in the Garden,цветная фотография,https://monet.1vasiliadi.com/img/1600/w68.webp,3840,3072,11.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet-Lady_in_the_Garden.jpg
68a,Адольф Моне в саду Ле-Кото в Сент-Адрессе,Adolphe Monet in the Garden of Le Coteau at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w68a.webp,3840,3072,11.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet-Lady_in_the_Garden.jpg
69,Цветущий сад,Garden in Flower,цветная фотография,https://monet.1vasiliadi.com/img/1600/w69.webp,2024,2500,5.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_007.jpg
70,Ваза с персиками,Jar of Peaches,цветная фотография,https://monet.1vasiliadi.com/img/1600/w70.webp,3178,3891,12.4,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Jar_of_Peaches_-_Google_Art_Project.jpg
71,Морской пейзаж. Ночь,"Seascape, Night Effect",цветная фотография,https://monet.1vasiliadi.com/img/1600/w71.webp,3840,3133,12.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_A_Seascape,_Shipping_by_Moonlight_-_Google_Art_Project.jpg"
72,Морской пейзаж,Seascape,цветная фотография,https://monet.1vasiliadi.com/img/1600/w72.webp,2048,1458,3.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Marine,_Le_Havre_-_Ordrupgaard.jpg"
73,Зеленая волна,The Green Wave,цветная фотография,https://monet.1vasiliadi.com/img/1600/w73.webp,3811,2854,10.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:The_Green_Wave_MET_DT1896.jpg
74,Рыбацкие лодки. Онфлёр,"Bateaux de pêche, Honfleur",цветная фотография,https://monet.1vasiliadi.com/img/1600/w74.webp,995,817,0.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_Bateaux_de_p%C3%AAche,_Honfleur_w74.jpg"
75,Парусники в Онфлёре,Sailing Boats at Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w75.webp,837,1023,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w75.jpg
76,Рыбацкие лодки (этюд),Fishing Boats (study),цветная фотография,https://monet.1vasiliadi.com/img/1600/w76.webp,743,616,0.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Barques_de_p%C3%AAche_(1866)_de_Claude_Monet_(W76).jpg
77,Порт Онфлёра,Port of Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w77.webp,629,397,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_77.png"
77a,Лодки в порту Онфлёра,Boats in the Port of Honfleur,цветная фотография,https://monet.1vasiliadi.com/img/1600/w77a.webp,3200,2382,7.6,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_monet_bateaux_dans_le_port_de_honfleur040433).jpg
79,Дорога перед фермой Сен-Симеон зимой,The Road in Front of Saint-Simeon Farm in Winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w79.webp,1474,1200,1.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1867_The_Road_in_front_of_Saint-Simeon_Farm_in_Winter.jpg
80,Дорога к ферме Сен-Симеон,Road to the Farm of Saint-Simeon,цветная фотография,https://monet.1vasiliadi.com/img/1600/w80.webp,2400,1655,4.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Road_toward_the_Farm_Saint-Sim%C3%A9on,_Honfleur,_1867.jpg"
81,Дорога к ферме Сен-Симеон зимой,The Road to the Farm of Saint-Simeon in Winter,цветная фотография,https://monet.1vasiliadi.com/img/1600/w81.webp,2800,2080,5.8,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:LA_ROUTE_DE_LA_FERME_SAINT-SIM%C3%89ON_EN_HIVER_(1867)_Claude_Monet_(W81).jpg
82,Заснеженная дорога в Онфлёре,The Snowy Road at Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w82.webp,492,370,0.2,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_82.png"
83,Набережная Лувра,Quai du Louvre,цветная фотография,https://monet.1vasiliadi.com/img/1600/w83.webp,3840,2705,10.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Quai_du_Louvre_1867,_by_Claude_Monet.jpg"
84,Сен-Жермен в Париже,Saint-Germain-l'Auxerrois,цветная фотография,https://monet.1vasiliadi.com/img/1600/w84.webp,3840,2978,11.4,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet,_Saint-Germain-l'Auxerrois_in_Paris,_1867,_Alte_Nationalgalerie,_Berlin_(40147039542).jpg"
85,Сад инфанты,Garden of the Princess,цветная фотография,https://monet.1vasiliadi.com/img/1600/w85.webp,1008,1512,1.5,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_-_Garten_der_Infantin.jpg
86,Бурное море,Stormy Seascape,цветная фотография,https://monet.1vasiliadi.com/img/1600/w86.webp,1952,1460,2.8,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Seascape_-_Storm.JPG"
87,Вход в порт Гавра,L'Entrée du port de Le Havre,цветная фотография,https://monet.1vasiliadi.com/img/1600/w87.webp,3088,2488,7.7,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:'The_Entrance_to_the_Port_of_Le_Havre'_by_Monet,_Norton_Simon_Museum.JPG"
87a,В порту Онфлёра,In the Port of Honfleur,скан из каталога,https://monet.1vasiliadi.com/img/1600/w87a.webp,356,245,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_87a.png"
88,Мол в Гавре в непогоду,The Jetty of Le Havre in Rough Weather,скан из каталога,https://monet.1vasiliadi.com/img/1600/w88.webp,1024,842,0.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet_w88.jpg
89,"Корабли, выходящие из гавани Гавра",Ships Leaving the Jetties of Le Havre,скан из каталога,https://monet.1vasiliadi.com/img/1600/w89.webp,197,527,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_89.png"
90,Пляж в Сент-Адрессе,The Beach at Sainte-Adresse,скан из каталога,https://monet.1vasiliadi.com/img/1600/w90.webp,439,316,0.1,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996,_90.png"
91,Регата в Сент-Адрессе,Regatta at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w91.webp,3789,2790,10.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_1867,_Regatta_at_Sainte-Adresse,_Metropolitan_Museum_of_Art.jpg"
92,Пляж в Сент-Адрессе,The Beach at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w92.webp,3840,2838,10.9,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Beach_at_Sainte-Adresse_-_Google_Art_Project.jpg
93,Сент-Адресс. Рыбацкие лодки на берегу,"Sainte-Adresse, Fishing Boats on the Shore",цветная фотография,https://monet.1vasiliadi.com/img/1600/w93.webp,3840,2671,10.3,National Gallery of Art,https://www.nga.gov/collection/art-object-page.71550.html
93a,Прогулка по скалам Сент-Адресса,Taking a Walk on the Cliffs of Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w93a.webp,3840,2602,10.0,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Promenade_sur_la_falaise_de_Sainte-Adresse,_by_Claude_Monet,_1867,_oil_on_canvas_-_Matsuoka_Museum_of_Art_-_Tokyo,_Japan_-_DSC07396.JPG"
94,Хижина в Сент-Адрессе,The Cabin at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w94.webp,2724,2406,6.6,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Claude_monet,_la_cabene_de_saint-adresse,_1867.JPG"
95,Терраса в Сент-Адресс,Garden at Sainte-Adresse,цветная фотография,https://monet.1vasiliadi.com/img/1600/w95.webp,3840,2879,11.1,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Jardin_%C3%A0_Sainte-Adresse.jpg
96,Адольф Моне в саду Ле-Кото в Сент-Адрессе,Adolphe Monet in the Garden of Le Coteau at Sainte-Adresse,цветная фотография,,8748,6999,61.2,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monet-Lady_in_the_Garden.jpg
